Summary,Document
Compare performance of multiple binary classification algorithms by running a sample application with multiple evaluation metrics. Also view the feature importance scores per the algorithm.Email me your feedback.,"This experiment uses 8 binary classification algorithms to train models against your data. It outputs the performance result of each algorithm such as Accuracy, AUC, for comparing the algorithms' performance.It also outputs the list of features sorted by their importance score for each model using the Permutation Feature Importance.The experiment has been published as a web service, and can be used through an application to evaluate the results of training your data using the experiment.To get started.Get a dataset with a column for binary classification ,Rename the column name to ""target"" , Upload the data and run the app ,View the results .Feel free to email me and let me know if you have any suggestions or comments about this app or the usefulness of this scenario in general."
"This experiment demonstrates the use of the Execute R Script, Feature Selection, Feature Hashing modules to train a text sentiment classification engine using Azure Machine learning studio.An SVM model is used for training this.","In this article, we'll explain how to to build an experiment for sentiment analysis using Microsoft Azure Machine Learning Studio. Sentiment analysis is a special case of text mining that is increasingly important in business intelligence and and social media analysis. For example, sentiment analysis of user reviews and tweets can help companies monitor public sentiment about their brands, or help consumers who want to identify opinion polarity before purchasing a product. This experiment demonstrates the use of the Feature Hashing, Execute R Script and Filter-Based Feature Selection modules to train a sentiment analysis engine. We use a data-driven machine learning approach instead of a lexicon-based approach, as the latter is known to have high precision but low coverage compared to an approach that learns from a corpus of annotated tweets. The hashing features are used to train a model using the Two-Class Support Vector Machine (SVM), and the trained model is used to predict the opinion polarity of unseen tweets. The output predictions can be aggregated over all the tweets containing a certain keyword, such as brand, celebrity, product, book names, etc in order to find out the overall sentiment around that keyword. The experiment is generic enough that you could use this framework to solve any text classification task given a reasonable amount of labeled training data."
Cost-sensitive binary classification in Azure ML Studio to predict credit risk based on information given on a credit application.Two different datasets and models were used for training and evaluation,"This sample demonstrates how to perform cost-sensitive binary classification in Azure ML Studio to predict credit risk based on the information given on a credit application. The classification problem in this experiment is a cost-sensitive one because the cost of misclassifying the positive samples is five times the cost of misclassifying the negative samples.In this experiment, we compare two different approaches for generating models to solve this problem:Training using the original data set and Training using a replicated data set.In both approaches, we evaluate the models using the test data set with replication, to ensure that results are aligned with the cost function. We test two classifiers in both approaches: Two-Class Support Vector Machine and Two-Class Boosted Decision Tree."
The experiment aims to build some predictive models which help to predict Malignant & Benign cases of Breast tumors.The entire process of ML pipeline is discussed here,"Machine Learning, these days playing a pivotal role in Healthcare Analytics. Early prognosis of diseases specifically cancer finds ray of hope of getting cured of. The data on Breast Cancer was collected from an online source. The data was was understood from various aspects doing some visualization & other Statistical analysis. After that Data Wrangling was done to prepare the data set for final analysis & finally applied SVM of Azure ML Studio & received desired outcome"
"Document classification experiment using Multiclass Decision Forests, with data taken from the CFPB to model support ticket classification.This experiment models using multiclass decision forests to categorize documents. The data used is taken from a publicly-available dataset of consumer complaints about financial products; this is a close analogue to a common task of customer support ticket classification.","Data is taken from the Consumer Financial Protection Bureau's online database of consumer complaints about different financial products. The overall dataset contains over 600,000 complaints, over 90,000 of which contain a ""Consumer complaint narrative"" -- open-ended text describing the problem the consumer is reporting. These complaint span 11 different types of financial products. Because the number of complaints varies substantially across product types, here we limit ourselves to the 5 most frequent product types:Bank accounts, credit cards, Credit reporting, Debt collection and mortgages. Additionally, we restrict ourselves here to complaints with narratives at least 500 characters long, to ensure a sufficiently rich training set. This yields a dataset of 36,958 consumer complaints. In addition to columns containing the product type, complaint narrative, and complaint ID, there are numerous other metadata columns as well that are included in the dataset but not used here.Inspection of cross-validation results shows this model to achieve about 82% accuracy on this data. What is particularly interesting is to note the nature of the classification errors. As can be seen in the confusion matrix displayed by the model evaluation step, errors are concentrated in three highly plausible areas.Bank accounts are mistaken for credit cards.Credit cards are mistaken for credit reporting.Debt collection is mistaken for credit reporting .All three of these error types involve topic areas that overlap in real life. Many credit cards are bank-issued, credit reporting is an integral step in securing a card, and credit reporting is also almost always directly implicated in the debt collection process. These errors may well indicate that the labels being applied to this data are not entirely mutually-exclusive, an important consideration when doing classification; it is also interesting that the errors are not symmetrical which may indicate further interesting structural properties of the data."
Email classification experiment to assign an email to one or more class(es) of predefined set of classes or work queues.The goal of this experiment is to classify an email into one or more predefined classes or categories and to create a support ticket or assign it to correct support team.,"This experiment has two steps.Train model with data and Save trained models.Create an experiment using the trained models and publish it as web service .Next optional step is to Integrate Predictive Web service in CRM workflow.In this experiment, input dataset has two raw text columns: Email Subject and Email Body, and three label columns: Case Type, Case Subject, and Queue name. Once we train the model it should predict case type of the email, case subject, and queue name to which email belongs. This experiment has following steps
Import Data, Data Preprocessing, Text Preprocessing, Feature Engineering, Train and Evaluate Model and Save Trained Models."
This experiment is meant to train models in order to predict accuratly who survived the Titanic disaster.It has been a good first machine learning experience with Azure Machine Learning Studio. The purpose was to use the knowledge earned with Microsoft MOOC on Datascience (EDX).The results of the test data was published in the kaggle competition.,"A set of labelled data is available to train models and a set of unlabelled data is available to make and submit predictions.The training data contains about 900 observations and has 12 columns. Among these columns, there are 10 features and 1 label column. The last column is a data column for tuple identification.Some data like Survived and Pclass needed to be reinterpreted as categorical data. Others, like Age, Fare and Embarked had missing data. The missing data were replaced by the mean or the mode depending on the data is categorical or numeric. There was not any outlier.Some data were removed because it is hard to see how they would have an impact on survival like Name, PassengerId, Ticket. The Cabin feature was also removed because it contained too much missing value and there were no way to rebuilt missing information.Finally, numerical features like Age and Fare were grouped into bins because their distribution was totally skewed.There were two columns detailing the composition of family onboard. They were used to build two derived features : One that indicates if the passenger has some family aboard and another that indicates the number of family members aboard.The features were selected after performing a test (ANOVA, Chi-Square) that aims to verify the link between the label and the feature.For example, tests proved that having some family aboard the titanic has an impact on survival but the size of family does not. A chi-sqaure test showed that the embarked feature has a link with the Survived label.Several models based on various classification method (Neural network, Support Vector Machine, Naive Bayes, Logistic Regression, Boosted Decision Tree and Random Forest) were trained and tuned using cross-validation and parameter sweep.It seemed like the boosted decision tree had the best performance among the other models.A section in the experiment is dedicated to produce a .csv file which contains prédictions that can be directly submitted to Kaggle.Predictions were 77,033% accurate for the public leaderboaard (made with half of the prédictions. The other half will be used to make the final classement at the end of the competition)."
"Rank sales leads in a CRM system by predicting the likelihood that they turn into an actual sale.The use case described in this experiment is a prediction of likelihood that prospect customers buy a specific product, under certain conditions identified in the source dataset.","The prediction is based on customer-oriented features, such as location, age, gender, and product features like program type, duration, destination. Products considered in this experiment relate to an educational institution selling on-site language courses.The dataset is labeled, which allows for supervised learning algorithms, and the label column ""Count"" being trained contains numerical values, which are the total number of sales collected in the past for the indicated conditions. The following classification - i.e. prediction - algorithm is tested:Two-Class Boosted Decision Tree: This algorithm is an ensemble learning method in which the second tree corrects for the errors of the first tree, the third tree corrects for the errors of the first and second trees, and so forth. Predictions are based on the entire ensemble of trees together that makes the prediction.Generally, boosted decision trees are the easiest methods with which to get top performance on a wide variety of classification tasks. However, they are also one of the more memory-intensive algorithms, and therefore, it should not be used to process a very large datasets. If you are dealing with datasets in the range of millions of row, prefer a linear algorithm, such as Two-Class Support Vector Machine."
"Sample experiment that uses multiclass classification to predict the letter category as one of the 26 capital letters in the English alphabet.This experiment demonstrates how to build a multiclass classification model for letter recognition, using Azure ML Studio.","We will use the letter recognition data from UCI Machine Learning repository ( http://archive.ics.uci.edu/ml/machine-learning-databases/letter-recognition/letter-recognition.data ).In this data, a set of 20,000 unique letter images was generated by randomly distorting pixel images of the 26 uppercase letters from 20 different commercial fonts. The parent fonts represented a full range of character types including script, italic, serif, and Gothic. Each letter within these 20 fonts was randomly distorted to produce a file of 20,000 unique stimuli. The features of each of the 20,000 characters or stimulus were summarized in terms of 16 primitive numerical attributes (statistical moments and edge counts) which were then scaled to fit into a range of integer values from 0 through 15. The objective is to identify each black-and-white rectangular pixel display as one of the 26 capital letters in the English alphabet.In order to access this dataset, drag the Reader module to the experiment canvas. This module can be used to specify the data source for an experiment.In general, when preparing data for an experiment, you might need to perform tasks such as selecting a subset of relevant columns from the entire dataset, changing the data type, converting columns to categorical or continuous variables, taking care of missing values etc. Additional tasks might include normalizing the data or binning values, if necessary.
In this experiment, the uploaded data is already in a good format, so no pre-processing of the data is needed.Defining a good set of features for a predictive model requires experimentation and knowledge about the problem at hand. Some features are better for predicting the target than others. Also, some features have a strong correlation with other features, so they will not add much new information to the model and can be removed. When building a model we might use all the available features in the dataset, or we might use only a subset of the features. For this experiment, we will use all 16 columns (Col2-Col17) that contain features of the 20,000 characters.The next step is to train a model. First, split the data into training and testing sets. Select and drag the Split module to the experiment canvas and connect it to the second input port of the Train Model module. Set Fraction of rows in the both output dataset to 0.5. This way, we'll use 50% of the data to train the model, and the other 50% for testing.In this experiment we will use two different algorithms. Drag the following modules into the experiment workspace: Multiclass Decision Jungle, and the Two-Class Support Vector Machines module connected to the One-vs-All Multiclass module.Connect the output of the algorithm module to the input ports of the Train Model module, along with the training data.We are ready to run the experiment. The result is a trained classification model that can be used to score new samples to make predictions.Now that we've trained the model, we can use it to score the other 50% of the data and see how well the model predicts and classifies new data.

Add the Score Model module to the experiment canvas, and connect the left input port to the output of the Train Model module. Connect the right input port to the test data output (right port) of the Split module.

Run the experiment and view the output of the Score Model module, by clicking the output port and selecting Visualize*. The output shows the the scored labels and the probabilities for each of the 26 classes (""A""-""Z"").Finally, to test the quality of the results, drag the Evaluate Model module to the experiment canvas, and connect the left input port to the output of the Score Model module. There are two input ports because the Evaluate Model module can be used to compare two models. Therefore, we can compare the performance of the two different algorithms that we applied -- Multiclass Decision Jungle and the Two-Class Support Vector Machines used together with the One-vs-All Multiclass modules.Run the experiment and view the output of the Evaluate Model module, by clicking the output port and selecting Visualize. The following diagram shows the resulting statistics for the model.Each column of the matrix represents the instances in a predicted class, while each row represents the instances in an actual class. In this confusion matrix, for class A, the recall is 85.1%. The algorithm correctly classifies class A 85.1% of the time whereas class A was misclassified as belonging to class G 0.5% of the time. The confusion matrix also does a poor job of classifying G and O."
This experiment predicts if a customer will visit after the marketing campaign using boosted decision tree and support vector machine.This experiment demonstrates how to use binary classifiers to predict customer response to a direct mailing campaign based on historical data.,"The dataset contains 64,000 records, each having nine features and three response (or label) columns.The three responses that can be predicted are as follows:visit - Denotes that a customer visited the store after the marketing campaign.visit - Denotes that a customer visited the store after the marketing campaign. conversion - Indicates that a customer purchased something. spend - The amount that was spent.For this particular experiment, we are predicting whether a customer will visit a store after the marketing campaign, which is labeled by a value in the visit column. This is an example of an unbalanced classification problem, because the percentage of visits is only about 2% of the data.First, we did some simple data processing.The segment variable is converted to be categorical, using Metadata Editor.The *history_segment* column is removed because it is a simplification of history column.The label columns conversion and spend are eliminated because we are not using them in this experiment.The resulting data is split into training and testing datasets as following figure.From the training data, we built two models, one using Two-Class Boosted Decision Trees, and the other using Two-Class Support Vector Machine. To determine the optimal parameters for each classifier, we used the Sweep Parameters module. Sweep Parameters module uses the random sweep technique to find the parameters of the classification algorithms, which can give best performance on the test set.Our results found that the Two-Class Boosted Decision Trees model had better accuracy. The following graphic shows the lift chart for the model.The values for accuracy, precision, and recall were similar for both classifiers, when comparing at a threshold of .15, which is about the maximum f-score for both learners. Therefore, in order to determine whether the slightly increased precision of the Two-Class Boosted Decision Tree model was significant, we used custom R script to calculate McNemar's statistic.

The sequence of modules at the end of the experiment shows how we computed the scores for the labels at a threshold of .15 prior to calculating McNemar's statistic. (Normally the Score Model module uses a threshold of .5.)

From this, we learned that McNemar's p-value is close to zero, indicating that the improvement is significant. Therefore the Two-Class Boosted Decision Tree model is the one that we would use for any scoring workflow."
